Symbol,Expiry,Strike Price,Option,Buy Qty,Sell Qty,Net Qty
CRUDEOIL,17-May-22,7600,CE,32,0,32
CRUDEOIL,17-May-22,7700,CE,22,,
CRUDEOIL,17-May-22,7900,CE,58,175,-117
CRUDEOIL,17-May-22,8000,CE,111,74,37
CRUDEOIL,17-May-22,8100,CE,48,48,0
CRUDEOIL,17-May-22,8200,CE,57,124,-67
CRUDEOIL,17-May-22,8300,CE,58,124,-66
CRUDEOIL,17-May-22,8400,CE,143,208,-65
CRUDEOIL,17-May-22,8500,CE,119,154,-35
CRUDEOIL,17-May-22,8600,CE,165,252,-87
CRUDEOIL,17-May-22,8700,CE,11,11,0
CRUDEOIL,17-May-22,8800,CE,35,35,0
CRUDEOIL,17-May-22,9000,CE,11,11,0
CRUDEOIL,17-May-22,7000,PE,77,132,-55
CRUDEOIL,17-May-22,7300,PE,10,9,1
CRUDEOIL,17-May-22,7400,PE,176,229,-53
CRUDEOIL,17-May-22,7500,PE,11,98,-87
CRUDEOIL,17-May-22,7600,PE,11,85,-74
CRUDEOIL,17-May-22,7700,PE,22,87,-65
CRUDEOIL,17-May-22,7800,PE,66,12,54
CRUDEOIL,17-May-22,7900,PE,11,0,11
CRUDEOIL,17-May-22,8000,PE,141,77,64
CRUDEOIL,17-May-22,8100,PE,107,107,0
CRUDEOIL,17-May-22,8200,PE,77,55,22
CRUDEOIL,17-May-22,8300,PE,151,77,74
CRUDEOIL,17-May-22,8400,PE,127,21,106
CRUDEOIL,17-May-22,8500,PE,55,22,33
NATURALGAS,23-May-22,550,CE,1,0,1
NATURALGAS,23-May-22,610,CE,0,18,-18
NATURALGAS,23-May-22,630,CE,9,9,0
NATURALGAS,23-May-22,650,CE,9,9,0
NATURALGAS,23-May-22,500,PE,52,1,51
NATURALGAS,23-May-22,530,PE,11,0,11
NATURALGAS,23-May-22,540,PE,27,0,27
NATURALGAS,23-May-22,550,PE,70,19,51
NATURALGAS,23-May-22,560,PE,9,9,0
NATURALGAS,23-May-22,580,PE,18,18,0
NATURALGAS,23-May-22,600,PE,9,0,9
NATURALGAS,23-May-22,610,PE,18,18,0
